2022-10-02T09:46Z;00:25;00:25
2022-10-02T09:47Z;00:45;00:20
2022-10-02T09:47Z;01:05;00:20
2022-10-02T09:47Z;01:29;00:24
2022-10-02T09:48Z;01:50;00:21
2022-10-02T09:48Z;02:14;00:23
2022-10-02T09:49Z;02:35;00:21
2022-10-02T09:49Z;02:57;00:21
2022-10-02T09:49Z;03:19;00:22
2022-10-02T09:50Z;03:45;00:25
2022-10-02T09:50Z;04:07;00:22
2022-10-02T09:50Z;04:32;00:24
2022-10-02T09:51Z;04:58;00:25
2022-10-02T09:51Z;05:25;00:26
2022-10-02T09:52Z;05:49;00:24
2022-10-02T09:52Z;06:13;00:24
2022-10-02T09:53Z;06:41;00:27
2022-10-02T09:53Z;07:08;00:26
2022-10-02T09:54Z;07:33;00:25
2022-10-02T09:54Z;07:58;00:25
2022-10-02T09:54Z;08:27;00:28
2022-10-02T09:55Z;08:52;00:25
2022-10-02T09:55Z;09:17;00:24
2022-10-02T09:56Z;09:41;00:24
2022-10-02T09:56Z;10:08;00:27
2022-10-02T09:56Z;10:32;00:23
2022-10-02T09:57Z;10:56;00:24
2022-10-02T09:57Z;11:20;00:23
2022-10-02T09:58Z;11:43;00:23
2022-10-02T09:58Z;12:05;00:22
2022-10-02T09:58Z;12:29;00:24
2022-10-02T09:59Z;12:53;00:23
2022-10-02T09:59Z;13:18;00:24
2022-10-02T10:00Z;13:42;00:23
2022-10-02T10:00Z;14:06;00:24
2022-10-02T10:00Z;14:30;00:24
2022-10-02T10:01Z;14:55;00:24
2022-10-02T10:01Z;15:18;00:23
2022-10-02T10:02Z;15:43;00:24
2022-10-02T10:02Z;16:07;00:23
2022-10-02T10:02Z;16:32;00:25
2022-10-02T10:03Z;16:56;00:23
2022-10-02T10:03Z;17:21;00:25
2022-10-02T10:04Z;17:47;00:25
2022-10-02T10:04Z;18:13;00:26
2022-10-02T10:05Z;18:37;00:24
2022-10-02T10:05Z;19:00;00:22
2022-10-02T10:05Z;19:23;00:23
2022-10-02T10:06Z;19:49;00:25
2022-10-02T10:06Z;20:13;00:24
2022-10-02T10:07Z;20:40;00:26
2022-10-02T10:07Z;21:08;00:27
2022-10-02T10:08Z;21:36;00:28
2022-10-02T10:08Z;22:04;00:27
2022-10-02T10:08Z;22:30;00:26
2022-10-02T10:09Z;23:00;00:29
2022-10-02T10:09Z;23:24;00:23
2022-10-02T10:10Z;23:48;00:23
2022-10-02T10:10Z;24:11;00:23
2022-10-02T10:11Z;24:40;00:28
2022-10-02T10:11Z;25:03;00:23
2022-10-02T10:11Z;25:27;00:23
2022-10-02T10:12Z;25:51;00:24
2022-10-02T10:12Z;26:18;00:27
2022-10-02T10:13Z;26:41;00:23
2022-10-02T10:13Z;27:05;00:23
2022-10-02T10:13Z;27:29;00:23
2022-10-02T10:14Z;27:57;00:28
2022-10-02T10:14Z;28:21;00:23
2022-10-02T10:15Z;28:45;00:24
2022-10-02T10:15Z;29:11;00:25
2022-10-02T10:16Z;29:39;00:28
2022-10-02T10:16Z;30:05;00:25
2022-10-02T10:16Z;30:32;00:27
2022-10-02T10:17Z;31:00;00:28
2022-10-02T10:17Z;31:30;00:30
2022-10-02T10:18Z;31:55;00:25
2022-10-02T10:18Z;32:20;00:25
2022-10-02T10:19Z;32:47;00:26
2022-10-02T10:19Z;33:17;00:29
2022-10-02T10:20Z;33:45;00:27
2022-10-02T10:20Z;34:14;00:29
2022-10-02T10:21Z;34:40;00:26
2022-10-02T10:21Z;35:15;00:34
2022-10-02T10:22Z;35:42;00:27
2022-10-02T10:22Z;36:08;00:25
2022-10-02T10:23Z;36:38;00:29
2022-10-02T10:23Z;37:10;00:32
2022-10-02T10:24Z;37:38;00:28
2022-10-02T10:24Z;38:03;00:25
2022-10-02T10:24Z;38:31;00:27
2022-10-02T10:25Z;39:05;00:33
2022-10-02T10:25Z;39:29;00:24
2022-10-02T10:26Z;39:54;00:25
2022-10-02T10:26Z;40:19;00:24
2022-10-02T10:27Z;40:49;00:29
2022-10-02T10:27Z;41:13;00:24
2022-10-02T10:28Z;41:38;00:24
2022-10-02T10:28Z;42:08;00:29
